file1,file2,distance
0003065d1258b85b191e64b569a5f9ae.jpg,2c38c5049fd6a18beb823594002752da.jpg,0
0003065d1258b85b191e64b569a5f9ae.jpg,89bedb0d90eefffb1bc37671d41ae99b.jpg,0
0003065d1258b85b191e64b569a5f9ae.jpg,99fde11f0ace21f636505945d2861c50.jpg,0
0003065d1258b85b191e64b569a5f9ae.jpg,da72974594c5dd3be18ddfd2f10a8a32.jpg,0
000c5e0073dc800a35aabf1a3a40da1d.jpg,2193db9253d5d8ac232dc6b0e637d492.jpg,0
00151e89c86e5dbddfaa5af3ea6f5ab7.jpg,42d71d32ba277a01258acb21909d6208.jpg,4
0016d384f0cfde8e1d1ccc1074bfabc3.jpg,281e94428a280685c5a143577b727c35.jpg,0
0016d384f0cfde8e1d1ccc1074bfabc3.jpg,6190e957e18811214dd70dfa9b9409fd.jpg,0
002a0865c563370dcc3e472155163c3c.jpg,3625bf17d388dd1c4e360e390c3d8da5.jpg,0
002a0865c563370dcc3e472155163c3c.jpg,4b8fa61be145badacaf73ec210ec4418.jpg,0
002a0865c563370dcc3e472155163c3c.jpg,b4587cf1f59aca48a815e06f85c189ab.jpg,0
002b41bf9b9ca4c785c7a7c2bd3d6a51.jpg,2ca34bf3a8e5f81f8f06ca7b03951927.jpg,0
002b41bf9b9ca4c785c7a7c2bd3d6a51.jpg,4610942154a9ee7556339bbf358c6c50.jpg,0
002b41bf9b9ca4c785c7a7c2bd3d6a51.jpg,7ab98967c042d9e9dc56efb97679ccc3.jpg,0
002b41bf9b9ca4c785c7a7c2bd3d6a51.jpg,835ee54384adc7568e10d8fc20ed29aa.jpg,0
002b41bf9b9ca4c785c7a7c2bd3d6a51.jpg,f66428ac6f2712612c7f553441f71a5d.jpg,0
003309fb8d666540546c4d8d14cb73cf.jpg,592147495757b9ad5158d61af9ff04fc.jpg,0
00361f3fd541731c10c5aa133a63081d.jpg,094dca4dfe7bf1b26732d6bc21b0a049.jpg,2
00361f3fd541731c10c5aa133a63081d.jpg,d2e394f465cc552e003b13ae944c5678.jpg,0
004bd8819cf018bb6ab32311770fa9bd.jpg,3fffe284b638fa1253cb7cb227316ffb.jpg,0
004d06a2e5a0e59c6a61b5b36568182a.jpg,ef66012a2f978e15a2b0a8df504604f6.jpg,0
005ceafa07ff34ab2174bc676073dbe8.jpg,2c2728146e6a2a3671ffc0814196f1c9.jpg,4
005ceafa07ff34ab2174bc676073dbe8.jpg,ec66fc9d8817d9f89cd36bc1fa265ae6.jpg,0
0061b8cf0ffd30e6d5b447f15ffbb45a.jpg,2d4db4584720a24d7d18b8fdca442c9d.jpg,0
0061b8cf0ffd30e6d5b447f15ffbb45a.jpg,5f569ed350f0b56c25ce55b4d1ed30bd.jpg,4
0061b8cf0ffd30e6d5b447f15ffbb45a.jpg,8c6ebaa38ff090cf012c58614b895b37.jpg,2
0061b8cf0ffd30e6d5b447f15ffbb45a.jpg,abbcbad91656c5c3d9865a67587fa00a.jpg,0
0061b8cf0ffd30e6d5b447f15ffbb45a.jpg,ce51486d2c462f3dbad9bbfcb0e16709.jpg,0
0061b8cf0ffd30e6d5b447f15ffbb45a.jpg,d807e18df9006c63c43732147baf5cf8.jpg,0
0061b8cf0ffd30e6d5b447f15ffbb45a.jpg,f65d78f9abdc1492a45e54751e5ef389.jpg,0
00732d26034046f6f36256e720f8e540.jpg,3d8d977fe0e04cf42984ca801164ec71.jpg,0
00732d26034046f6f36256e720f8e540.jpg,692bf602275dfbf87504bae88fdb6a80.jpg,0
00732d26034046f6f36256e720f8e540.jpg,cb0bf6802b2512f23b8a192307cdaf46.jpg,2
0074fe4d33aaae3b5e98c29a470b6d48.jpg,f5b9ebf22fdea17ec4c905efb463d770.jpg,0
007eaa0d11bd2442e14d20505ef3c14b.jpg,c57b34fdf2eda19d1d149064292fc806.jpg,2
0090190a4cf9307bffa1eb9293a566e1.jpg,e9bc5404dd3687e568df0c4be014773b.jpg,2
0090e2275b585e8792157292ff62d12d.jpg,52f839cd6fec8709241a27817bc2173b.jpg,2
009347725b255f56b6972f904167d8d0.jpg,cbac6ed1e9ffec2d05f54345730b47b1.jpg,0
009382e55145430be0fbbe254bbff0df.jpg,aa58224e694a6822c2e5f8f7d9d9c97b.jpg,0
0097369f4e347013c576f7d60bcfacd2.jpg,018be475168290a3d22b08842c962a39.jpg,1
0097369f4e347013c576f7d60bcfacd2.jpg,026c7b9b4cbea1dd3852e25ad3c81d3d.jpg,1
0097369f4e347013c576f7d60bcfacd2.jpg,07c6bde5c8f7fdcc216f398c901800c3.jpg,5
0097369f4e347013c576f7d60bcfacd2.jpg,0d22a323897e0d9cebec945ff6ff04fa.jpg,1
0097369f4e347013c576f7d60bcfacd2.jpg,0f2d985bd68c441cedf2e4206bd1bc97.jpg,1
0097369f4e347013c576f7d60bcfacd2.jpg,1199432e7369d21371025ddb80f95e6a.jpg,0
0097369f4e347013c576f7d60bcfacd2.jpg,11e502e208c00f7128130852e841ee34.jpg,1
0097369f4e347013c576f7d60bcfacd2.jpg,137bfd4864f4b4267fcd40e42c9d781e.jpg,0
0097369f4e347013c576f7d60bcfacd2.jpg,1494cc177eb87432384afcc7efb5c0bd.jpg,1
0097369f4e347013c576f7d60bcfacd2.jpg,1e7cd78a7fdd5962dc6aff81d6ac7725.jpg,3
0097369f4e347013c576f7d60bcfacd2.jpg,26f97b3b084b9adfc224c0e05cea62ed.jpg,1
0097369f4e347013c576f7d60bcfacd2.jpg,2775f338c469b19c338c4e0ea410271c.jpg,1
0097369f4e347013c576f7d60bcfacd2.jpg,2a0c06d1740a883548c347a5f38b63d1.jpg,3
0097369f4e347013c576f7d60bcfacd2.jpg,2df48a77a64f62d92fb5cf5e9bfa90bd.jpg,1
0097369f4e347013c576f7d60bcfacd2.jpg,30251c2011a1258806b36cec9b6624c1.jpg,1
0097369f4e347013c576f7d60bcfacd2.jpg,30fdb94f333b6300a68d9a330399375a.jpg,0
0097369f4e347013c576f7d60bcfacd2.jpg,326346f782004322e0b11ce2b3db312a.jpg,1
0097369f4e347013c576f7d60bcfacd2.jpg,3375b54ab199342e53093c44d9101e59.jpg,1
0097369f4e347013c576f7d60bcfacd2.jpg,349388bae8921a4673f7708ddfd67a58.jpg,4
0097369f4e347013c576f7d60bcfacd2.jpg,37e9de34c0335a30c54e312cbfd14bcf.jpg,1
0097369f4e347013c576f7d60bcfacd2.jpg,40c78c9fd4daeff01c988c3532fdd51b.jpg,1
0097369f4e347013c576f7d60bcfacd2.jpg,46e7cc5ccdbcab44c6703025eae2701d.jpg,1
0097369f4e347013c576f7d60bcfacd2.jpg,4813e23ad33fcf088b8afee08f9b89e8.jpg,1
0097369f4e347013c576f7d60bcfacd2.jpg,48893bf2f7d7e55e0d4ff8924b974e28.jpg,1
0097369f4e347013c576f7d60bcfacd2.jpg,4fb8882c274b7f75763b60189fcb78c8.jpg,1
0097369f4e347013c576f7d60bcfacd2.jpg,55288bf151694154e18c957d3d462146.jpg,0
0097369f4e347013c576f7d60bcfacd2.jpg,5bf14d8498e6784a169db566503dd1b1.jpg,1
0097369f4e347013c576f7d60bcfacd2.jpg,61954f4bd30427906d31fed9bd2b627b.jpg,1
0097369f4e347013c576f7d60bcfacd2.jpg,66fdd84517bb1cb9f0a82813b310e76b.jpg,1
0097369f4e347013c576f7d60bcfacd2.jpg,6780e1df7c9f0abbf3b539fec0a2485f.jpg,1
0097369f4e347013c576f7d60bcfacd2.jpg,68138ffe70b05222d0be1684223882df.jpg,1
0097369f4e347013c576f7d60bcfacd2.jpg,6913df8b8ba0e76e5fbb40bf28f23e7d.jpg,1
0097369f4e347013c576f7d60bcfacd2.jpg,6e6a721485363af3c83a09677883820e.jpg,1
0097369f4e347013c576f7d60bcfacd2.jpg,75697736ab12fcbc910835ad5c9af754.jpg,1
0097369f4e347013c576f7d60bcfacd2.jpg,760c8b93c1a14482df6bc594a4779c4b.jpg,1
0097369f4e347013c576f7d60bcfacd2.jpg,78ef68043f5aed0de916c936e3d8fb2f.jpg,1
0097369f4e347013c576f7d60bcfacd2.jpg,7b8b2eb72920d2b99527d1070e8833c5.jpg,1
0097369f4e347013c576f7d60bcfacd2.jpg,7e95ccfd89f489417134cd94ae136b49.jpg,1
0097369f4e347013c576f7d60bcfacd2.jpg,7ef6a409f7315b27babf5e26f0c35404.jpg,1
0097369f4e347013c576f7d60bcfacd2.jpg,828d79d5813d2f35ab2a1eac50624501.jpg,3
0097369f4e347013c576f7d60bcfacd2.jpg,861330f795881eef0b51c6de429818e3.jpg,1
0097369f4e347013c576f7d60bcfacd2.jpg,8919f46a90bfae1f7561e15353ea9ce7.jpg,1
0097369f4e347013c576f7d60bcfacd2.jpg,8befc45da759524be413a66ee4bdc5ab.jpg,1
0097369f4e347013c576f7d60bcfacd2.jpg,8e01456dd6df0f5a9088ff139568c3ae.jpg,1
0097369f4e347013c576f7d60bcfacd2.jpg,902a14a0b8adf5b86344157409f15a12.jpg,1
0097369f4e347013c576f7d60bcfacd2.jpg,9085151618b65e77f3981bb510c02897.jpg,1
0097369f4e347013c576f7d60bcfacd2.jpg,92eebdd8efb7b4a3b4c2c82fd9c39cec.jpg,1
0097369f4e347013c576f7d60bcfacd2.jpg,9ce3f1787702c48cf55434d28615a817.jpg,1
0097369f4e347013c576f7d60bcfacd2.jpg,a0fd5708ecde95b6ff804693fc852605.jpg,1
0097369f4e347013c576f7d60bcfacd2.jpg,a75799a1a81bb5a4a684339880aa5921.jpg,1
0097369f4e347013c576f7d60bcfacd2.jpg,a85ed5ef701d12def7736ae89eb0964c.jpg,1
0097369f4e347013c576f7d60bcfacd2.jpg,a9bef74e6ca76e699574219a1075bd1a.jpg,1
0097369f4e347013c576f7d60bcfacd2.jpg,af7f45fdbec39f2adaf9661588b7a34e.jpg,1
0097369f4e347013c576f7d60bcfacd2.jpg,b1b2cbaa0f84f25dcc67ca838a4aafd0.jpg,0
0097369f4e347013c576f7d60bcfacd2.jpg,b943d60fe8106ece49d486d4d3dcfe8f.jpg,1
0097369f4e347013c576f7d60bcfacd2.jpg,c0daffa263f803b7ac3322f42c751139.jpg,1
0097369f4e347013c576f7d60bcfacd2.jpg,c322c7fa773a30153c13a34f2bb38e81.jpg,0
0097369f4e347013c576f7d60bcfacd2.jpg,cb4d15a7ea69ff3d7b2f16acc3639f66.jpg,1
0097369f4e347013c576f7d60bcfacd2.jpg,cc2750d85960e7beb0ede73935dafce3.jpg,1
